AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_E,AAC_Q,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V
TOPB45_0001,0.0245535714285714,0.0535714285714286,0.0535714285714286,0.0334821428571429,0.00892857142857143,0.100446428571429,0.0379464285714286,0.0513392857142857,0.00892857142857143,0.0736607142857143,0.136160714285714,0.0959821428571429,0.0133928571428571,0.0535714285714286,0.0290178571428571,0.0714285714285714,0.0357142857142857,0.00669642857142857,0.046875,0.0647321428571429
TOPB45_0002,0.0390455531453362,0.0477223427331887,0.0325379609544469,0.0368763557483731,0.0108459869848156,0.110629067245119,0.00867678958785249,0.0802603036876356,0.0108459869848156,0.0759219088937093,0.125813449023861,0.0954446854663774,0.00867678958785249,0.0542299349240781,0.0542299349240781,0.0650759219088937,0.0390455531453362,0.00650759219088937,0.0281995661605206,0.06941431670282
TOPB45_0003,0.051792828685259,0.0438247011952191,0.0438247011952191,0.051792828685259,0.0278884462151394,0.0756972111553785,0.0199203187250996,0.0398406374501992,0.0239043824701195,0.0876494023904383,0.115537848605578,0.119521912350598,0.0278884462151394,0.0717131474103586,0.0398406374501992,0.0358565737051793,0.0278884462151394,0.0159362549800797,0.0438247011952191,0.0358565737051793
TOPB45_0004,0.077319587628866,0.0257731958762887,0.0412371134020619,0.0309278350515464,0.0103092783505155,0.0721649484536082,0.0257731958762887,0.0567010309278351,0,0.0515463917525773,0.128865979381443,0.0979381443298969,0.0154639175257732,0.0618556701030928,0.0618556701030928,0.0670103092783505,0.0360824742268041,0.00515463917525773,0.0721649484536082,0.0618556701030928
TOPB45_0005,0.0263157894736842,0.0321637426900585,0.0467836257309941,0.0263157894736842,0.00292397660818713,0.0526315789473684,0.0204678362573099,0.0526315789473684,0.0175438596491228,0.154970760233918,0.0964912280701754,0.0672514619883041,0.0116959064327485,0.0935672514619883,0.043859649122807,0.0614035087719298,0.0614035087719298,0.0087719298245614,0.0380116959064327,0.0847953216374269
TOPB45_0006,0.0548780487804878,0.0609756097560976,0.0609756097560976,0.0304878048780488,0.0304878048780488,0.0426829268292683,0.024390243902439,0.0914634146341463,0,0.128048780487805,0.0731707317073171,0.0609756097560976,0.0304878048780488,0.0487804878048781,0.024390243902439,0.0975609756097561,0.0426829268292683,0.0121951219512195,0.0365853658536585,0.0487804878048781
TOPB45_0007,0.0892857142857143,0.0178571428571429,0.0714285714285714,0.0267857142857143,0.0535714285714286,0.0357142857142857,0.00892857142857143,0.0892857142857143,0,0.133928571428571,0.0982142857142857,0.0535714285714286,0.00892857142857143,0.0446428571428571,0.0178571428571429,0.107142857142857,0.0803571428571429,0,0.00892857142857143,0.0535714285714286
TOPB45_0008,0.0479452054794521,0.0410958904109589,0.0753424657534247,0.0582191780821918,0.0308219178082192,0.0376712328767123,0.0342465753424658,0.0787671232876712,0,0.0856164383561644,0.0719178082191781,0.0582191780821918,0.0171232876712329,0.0479452054794521,0.0342465753424658,0.0719178082191781,0.0582191780821918,0.0102739726027397,0.0684931506849315,0.0719178082191781
TOPB45_0009,0.0602409638554217,0.0220883534136546,0.126506024096386,0.0441767068273092,0.0160642570281124,0.0261044176706827,0.0261044176706827,0.110441767068273,0.00200803212851406,0.0763052208835341,0.0883534136546185,0.0582329317269076,0.0160642570281124,0.0522088353413655,0.0301204819277108,0.0742971887550201,0.070281124497992,0.00803212851405622,0.0401606425702811,0.0522088353413655
TOPB45_0010,0.0355731225296443,0.0118577075098814,0.0276679841897233,0.0158102766798419,0.0237154150197628,0.0237154150197628,0.00395256916996047,0.0948616600790514,0.00395256916996047,0.110671936758893,0.177865612648221,0.075098814229249,0.0158102766798419,0.122529644268775,0.0395256916996047,0.0711462450592885,0.0237154150197628,0.0158102766798419,0.0671936758893281,0.0395256916996047
TOPB45_0011,0.0373134328358209,0.0373134328358209,0.0298507462686567,0.0447761194029851,0.0149253731343284,0.134328358208955,0.0149253731343284,0.0522388059701493,0.0149253731343284,0.111940298507463,0.0671641791044776,0.111940298507463,0.0149253731343284,0.0373134328358209,0.0671641791044776,0.0149253731343284,0.0447761194029851,0.00746268656716418,0.0671641791044776,0.0746268656716418
